"responseData__cityentity_id","responseData__id","responseData__name","responseData__max_level","responseData__blueprints__number_of_pieces","responseData__blueprints__building_id","responseData__blueprints__piece_number","responseData__blueprints__amount","responseData__blueprints____class__","responseData__description","responseData__inStock","responseData__item__upgradeItemId","responseData__item__selectionKitId","responseData__item__target","responseData__item__resource_package__cost____class__","responseData__item__resource_package__gain","responseData__item__resource_package____class__","responseData__item__cityEntityId","responseData__item__level","responseData__item__reward__type","responseData__item__reward__subType","responseData__item__reward__amount","responseData__item__reward__id","responseData__item__reward__name","responseData__item__reward__description","responseData__item__reward__iconAssetName","responseData__item__reward__isHighlighted","responseData__item__reward__assembledReward__type","responseData__item__reward__assembledReward__subType","responseData__item__reward__assembledReward__amount","responseData__item__reward__assembledReward__id","responseData__item__reward__assembledReward__name","responseData__item__reward__assembledReward__description","responseData__item__reward__assembledReward__iconAssetName","responseData__item__reward__assembledReward__isHighlighted","responseData__item__reward__assembledReward__flags__-","responseData__item__reward__assembledReward____class__","responseData__item__reward__requiredAmount","responseData__item__reward__possible_rewards__drop_chance","responseData__item__reward__possible_rewards__reward__type","responseData__item__reward__possible_rewards__reward__subType","responseData__item__reward__possible_rewards__reward__id","responseData__item__reward__possible_rewards__reward__name","responseData__item__reward__possible_rewards__reward__iconAssetName","responseData__item__reward__possible_rewards__reward__possible_rewards__drop_chance","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__type","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__subType","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__amount","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__id","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__name","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__description","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__iconAssetName","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__duration","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__value","responseData__item__reward__possible_rewards__reward__possible_rewards__reward____class__","responseData__item__reward__possible_rewards__reward__possible_rewards____class__","responseData__item__reward__possible_rewards__reward____class__","responseData__item__reward__possible_rewards____class__","responseData__item__reward____class__","responseData__item__boostType","responseData__item__value","responseData__item__duration","responseData__item____class__","responseData__itemAssetName","responseData__availableFrom","responseData__exchangeBaseValue__|","responseData__exchangeBaseValue__|__trade_coins","responseData__exchangeBaseValue__|__gemstones","responseData__exchangeBaseValue____class__","responseData__locked","responseData__sortPriority__001","responseData__sortPriority__002","responseData__sortPriority__003","responseData__sortPriority__004","responseData__sortPriority__005","responseData__sortPriority__006","responseData__time","responseData____class__","responseData","requestClass","requestMethod","requestId","__class__"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1080","2.112","","","","","","","","","","","","","","",""
"","25981175","Koloss - St. 10","","","","","","","","2","","","","","","","R_MultiAge_SportBonus19j","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_MultiAge_SportBonus19j","","minValues","8640","11.264000000000001","ItemExchangeValue","True","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","8640","16.896","","","","","","","","","","","","","","",""
"","20439985","Terrakotta-Weingut - St. 1","","","","","","","","2","","","","","","","R_MultiAge_SportBonus21a","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_MultiAge_SportBonus21a","","minValues","1080","1.4080000000000001","ItemExchangeValue","True","1","1738256961","0","1","0","17","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1080","2.112","","","","","","","","","","","","","","",""
"","22818121","Mikawa-Brücke","","","","","","","","1","","","","","","","R_MultiAge_SpringBonus20hMikawa","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_MultiAge_SpringBonus20hMikawa","","minValues","9720","12.672000000000002","ItemExchangeValue","True","1","0","0","1","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","9720","19.008","","","","","","","","","","","","","","",""
"","21907129","Suishun-Mühle - St. 1","","","","","","","","1","","","","","","","R_MultiAge_SpringBonus21a","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_MultiAge_SpringBonus21a","","minValues","1080","1.4080000000000001","ItemExchangeValue","True","1","0","0","1","0","18","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1080","2.112","","","","","","","","","","","","","","",""
"","24400690","Großer Leuchtturm - St. 8","","","","","","","","2","","","","","","","R_MultiAge_SummerBonus19h","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_MultiAge_SummerBonus19h","","minValues","8640","11.264000000000001","ItemExchangeValue","True","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","8640","16.896","","","","","","","","","","","","","","",""
"","17822240","Villa des Gouverneurs - St. 1","","","","","","","","2","","","","","","","R_MultiAge_SummerBonus20a","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_MultiAge_SummerBonus20a","","minValues","1350","1.76","ItemExchangeValue","True","1","0","0","1","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1350","2.6399999999999997","","","","","","","","","","","","","","",""
"","19580617","Winterbäckerei - St. 1","","","","","","","","3","","","","","","","R_MultiAge_WinterBonus20a","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_MultiAge_WinterBonus20a","","minValues","1620","2.112","ItemExchangeValue","True","1","0","0","1","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1620","3.1679999999999997","","","","","","","","","","","","","","",""
"","26600065","Winterkanal - St. 1","","","","","","","","1","","","","","","","R_MultiAge_WinterBonus21a","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_MultiAge_WinterBonus21a","","minValues","1080","1.4080000000000001","ItemExchangeValue","True","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1080","2.112","","","","","","","","","","","","","","",""
"","21526661","Schwerkraftlose Residenz","","","","","","","","5","","","","","","","R_SpaceAgeAsteroidBelt_Residential1","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_SpaceAgeAsteroidBelt_Residential1","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","18","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","22498459","Aufblasbare Behausung","","","","","","","","60","","","","","","","R_SpaceAgeVenus_Residential1","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_SpaceAgeVenus_Residential1","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","17807857","Mehrgenerationenhaus","","","","","","","","17","","","","","","","R_VirtualFuture_Residential1","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_VirtualFuture_Residential1","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","18807602","Teehaus","","","","","","","","3","","","","","","","R_VirtualFuture_Residential3","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","R_VirtualFuture_Residential3","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","30648079","Ritualflamme","","","","","","","","1","","","","","","","T_AllAge_Expedition16","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","T_AllAge_Expedition16","","minValues","1080","0.32","ItemExchangeValue","","1","0","0","0","1","0","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1080","0.48","","","","","","","","","","","","","","",""
"","25402953","Goldene Felder - St. 1","","","","","","","","2","","","","","","","W_MultiAge_FallBonus21a","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","W_MultiAge_FallBonus21a","","minValues","1215","1.5840000000000003","ItemExchangeValue","True","1","","","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1215","2.376","","","","","","","","","","","","","","",""
"","29738364","Juno-Anwesen","","","","","","","","14","","","","","","","W_SpaceAgeJupiterMoon_Residential1","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","W_SpaceAgeJupiterMoon_Residential1","","minValues","202.5","0","ItemExchangeValue","","1","","","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","29614484","Raumfahrt-Apotheke","","","","","","","","11","","","","","","","W_SpaceAgeJupiterMoon_Workshop1","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","W_SpaceAgeJupiterMoon_Workshop1","","minValues","202.5","0","ItemExchangeValue","","1","","","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","5219487","100%-Münz-Trank","","","","","","","Benutze diesen Gegenstand, um deine Münz-Produktionen in der Stadt 8 Std. lang um 100% zu steigern!","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","coin_production","100","28800","BoostItemPayload","boost_coins_large","","minValues","324","0","ItemExchangeValue","True","8","6","2147483540","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","324","0","","","","","","","","","","","","","","",""
"","21437311","50%-Münz-Trank","","","","","","","Benutze diesen Gegenstand, um deine Münz-Produktionen in der Stadt 8 Std. lang um 50% zu steigern!","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","coin_production","50","28800","BoostItemPayload","boost_coins_medium","","minValues","162","0","ItemExchangeValue","","8","6","2147483590","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","162","0","","","","","","","","","","","","","","",""
"","18820870","10%-Münz-Trank","","","","","","","Benutze diesen Gegenstand, um deine Münz-Produktionen in der Stadt 8 Std. lang um 10% zu steigern!","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","coin_production","10","28800","BoostItemPayload","boost_coins_small","","minValues","81","0","ItemExchangeValue","","8","6","2147483630","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","81","0","","","","","","","","","","","","","","",""
"","19249830","30%-Verteidigungs-Trank","","","","","","","Benutze diesen Gegenstand, um die Verteidigungswerte deiner verteidigenden Einheiten 8 Std. lang um 30% zu verbessern.","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","def_boost_defender","30","28800","BoostItemPayload","boost_defend_large","","minValues","270","0","ItemExchangeValue","","8","1","2147483610","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","270","0","","","","","","","","","","","","","","",""
"","19946941","20%-Verteidigungs-Trank","","","","","","","Benutze diesen Gegenstand, um die Verteidigungswerte deiner verteidigenden Einheiten 8 Std. lang um 20% zu verbessern.","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","def_boost_defender","20","28800","BoostItemPayload","boost_defend_medium","","minValues","135","0","ItemExchangeValue","","8","1","2147483620","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","135","0","","","","","","","","","","","","","","",""
"","23763523","10%-Verteidigungs-Trank","","","","","","","Benutze diesen Gegenstand, um die Verteidigungswerte deiner verteidigenden Einheiten 8 Std. lang um 10% zu verbessern.","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","def_boost_defender","10","28800","BoostItemPayload","boost_defend_small","","minValues","54","0","ItemExchangeValue","","8","1","2147483630","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","54","0","","","","","","","","","","","","","","",""
"","26955773","'Schillernder Garten'-Fragment","","","","","","","Sammle genug Fragmente, um ""Schillernder Garten"" zusammenzusetzen","66","","","","","","","","","consumable","fragment","1","fragment#building_iridescent_garden","'Schillernder Garten'-Fragment","Sammle genug Fragmente, um ""Schillernder Garten"" zusammenzusetzen","icon_fragment","True","building","D_MultiAge_Battlegrounds4","1","building_iridescent_garden","Schillernder Garten","Diese Dekoration produziert einen Forge-Punkt, Güter und dient der Verteidigung deiner angreifenden Armee, sobald du sie mit einem Gebäude des Großen Elefanten verbindest!","","True","rare","GenericReward","100","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","","11","","","","","","","InventoryItem","","","","",""
"","17129597","'Straße der Ehre'-Fragment","","","","","","","Sammle genug Fragmente, um ""Straße der Ehre"" zusammenzusetzen","21","","","","","","","","","consumable","fragment","1","fragment#building_road_to_victory","'Straße der Ehre'-Fragment","Sammle genug Fragmente, um ""Straße der Ehre"" zusammenzusetzen","icon_fragment","True","building","D_MultiAge_Battlegrounds2","1","building_road_to_victory","Straße der Ehre","Diese Dekoration produziert Güter und dient der Verteidigung deiner angreifenden Armee, sobald du sie mit einer Ehrenstatue verbindest!","","True","rare","GenericReward","100","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","True","11","","","","","","","InventoryItem","","","","",""
"","29098358","'Schrein der Inspiration'-Fragment","","","","","","","Sammle genug Fragmente, um ""Schrein der Inspiration"" zusammenzusetzen","1","","","","","","","","","consumable","fragment","1","fragment#building_shrine_of_inspiration","'Schrein der Inspiration'-Fragment","Sammle genug Fragmente, um ""Schrein der Inspiration"" zusammenzusetzen","icon_fragment","True","building","R_MultiAge_EasterBonus16","1","building_shrine_of_inspiration","Schrein der Inspiration","Hole dir die wertvollen Blaupausen: Dieses Wohngebäude produziert Blaupausen, wenn es motiviert wird!","","True","uncommon","GenericReward","15","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","","11","","","","","","","InventoryItem","","","","",""
"","29941324","'Schrein des Wissens'-Fragment","","","","","","","Sammle genug Fragmente, um ""Schrein des Wissens"" zusammenzusetzen","10","","","","","","","","","consumable","fragment","1","fragment#building_shrine_of_knowledge","'Schrein des Wissens'-Fragment","Sammle genug Fragmente, um ""Schrein des Wissens"" zusammenzusetzen","icon_fragment","True","building","R_MultiAge_EasterBonus5","1","building_shrine_of_knowledge","Schrein des Wissens","Leg' den Turbo ein: Dieses Wohngebäude produziert einen Forge-Punkt, wenn es motiviert wird!","","True","uncommon","GenericReward","15","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","","11","","","","","","","InventoryItem","","","","",""
"","29534365","'Plus-Eins-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Plus-Eins-Kit"" zusammenzusetzen","22","","","","","","","","","consumable","fragment","1","fragment#one_up_kit","'Plus-Eins-Kit'-Fragment","Sammle genug Fragmente, um ""Plus-Eins-Kit"" zusammenzusetzen","icon_fragment","True","consumable","one_up_kit","1","one_up_kit","Plus-Eins-Kit","Bringe ein Event-Gebäude auf das nächste Zeitalter! Kann dein aktuelles Zeitalter nicht übersteigen.","one_up_kit","True","uncommon","GenericReward","30","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","","11","","","","","","","InventoryItem","","","","",""
"","30606768","'30 Min. Vorrats-Beschleuniger'-Fragment","","","","","","","Sammle genug Fragmente, um ""30 Min. Vorrats-Beschleuniger"" zusammenzusetzen","10","","","","","","","","","consumable","fragment","1","fragment#rush_mass_supplies_30m","'30 Min. Vorrats-Beschleuniger'-Fragment","Sammle genug Fragmente, um ""30 Min. Vorrats-Beschleuniger"" zusammenzusetzen","icon_fragment","","consumable","speedup_item","1","rush_mass_supplies_30m","30 Min. Vorrats-Beschleuniger","Verwende diesen Gegenstand, um die verbleibende Zeit für die Vorrats-Produktion aller Gebäude um 30 Min. zu verringern. Gilt nicht für Spezial-Produktionen und Legendäre Bauwerke.","rush_mass_supply_small","","","GenericReward","30","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","","11","","","","","","","InventoryItem","","","","",""
"","27301578","'Großer Elefant Auswahl-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Großer Elefant Auswahl-Kit"" zusammenzusetzen","183","","","","","","","","","consumable","fragment","1","fragment#selection_kit_great_elephant","'Großer Elefant Auswahl-Kit'-Fragment","Sammle genug Fragmente, um ""Großer Elefant Auswahl-Kit"" zusammenzusetzen","icon_fragment","","consumable","selection_kit","1","selection_kit_great_elephant","Großer Elefant Auswahl-Kit","Wähle, ob du ein neues Gebäude errichten oder ein bestehendes Gebäude verbessern willst.","selection_kit_great_elephant","","epic","GenericReward","200","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","True","11","","","","","","","InventoryItem","","","","",""
"","9495410","'Größerer-Runenstein-Auswahl-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Größerer-Runenstein-Auswahl-Kit"" zusammenzusetzen","13","","","","","","","","","consumable","fragment","1","fragment#selection_kit_greater_rune_stone","'Größerer-Runenstein-Auswahl-Kit'-Fragment","Sammle genug Fragmente, um ""Größerer-Runenstein-Auswahl-Kit"" zusammenzusetzen","icon_fragment","","consumable","selection_kit","1","selection_kit_greater_rune_stone","Größerer-Runenstein-Auswahl-Kit","Wähle, ob du ein neues Gebäude errichten oder ein bestehendes Gebäude verbessern willst.","selection_kit_greater_rune_stone","","epic","GenericReward","15","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","True","11","","","","","","","InventoryItem","","","","",""
"","22449750","'Jade Statue-Auswahl-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Jade Statue-Auswahl-Kit"" zusammenzusetzen","3","","","","","","","","","consumable","fragment","1","fragment#selection_kit_jade_statue","'Jade Statue-Auswahl-Kit'-Fragment","Sammle genug Fragmente, um ""Jade Statue-Auswahl-Kit"" zusammenzusetzen","icon_fragment","","consumable","selection_kit","1","selection_kit_jade_statue","Jade Statue-Auswahl-Kit","Wähle, ob du ein neues Gebäude errichten oder ein bestehendes Gebäude verbessern willst.","selection_kit_jade_statue","","epic","GenericReward","15","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","True","11","","","","","","","InventoryItem","","","","",""
"","25239651","'Minarett-Auswahl-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Minarett-Auswahl-Kit"" zusammenzusetzen","2","","","","","","","","","consumable","fragment","1","fragment#selection_kit_minaret","'Minarett-Auswahl-Kit'-Fragment","Sammle genug Fragmente, um ""Minarett-Auswahl-Kit"" zusammenzusetzen","icon_fragment","","consumable","selection_kit","1","selection_kit_minaret","Minarett-Auswahl-Kit","Wähle, ob du ein neues Gebäude errichten oder ein bestehendes Gebäude verbessern willst.","selection_kit_minaret","","epic","GenericReward","15","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","True","11","","","","","","","InventoryItem","","","","",""
"","28649099","'Ehrenstatuen-Auswahl-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Ehrenstatuen-Auswahl-Kit"" zusammenzusetzen","14","","","","","","","","","consumable","fragment","1","fragment#selection_kit_statue_of_honor","'Ehrenstatuen-Auswahl-Kit'-Fragment","Sammle genug Fragmente, um ""Ehrenstatuen-Auswahl-Kit"" zusammenzusetzen","icon_fragment","","consumable","selection_kit","1","selection_kit_statue_of_honor","Ehrenstatuen-Auswahl-Kit","Wähle, ob du ein neues Gebäude errichten oder ein bestehendes Gebäude verbessern willst.","selection_kit_statue_of_honor","","epic","GenericReward","200","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","True","11","","","","","","","InventoryItem","","","","",""
"","29938586","'Wunschbrunnen-Schrumpf-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Wunschbrunnen-Schrumpf-Kit"" zusammenzusetzen","2","","","","","","","","","consumable","fragment","1","fragment#shrink_kit_wishing_well","'Wunschbrunnen-Schrumpf-Kit'-Fragment","Sammle genug Fragmente, um ""Wunschbrunnen-Schrumpf-Kit"" zusammenzusetzen","icon_fragment","","consumable","upgrade_kit","1","shrink_kit_wishing_well","Wunschbrunnen-Schrumpf-Kit","Benutze dieses Schrumpf-Kit, um deinen Wunschbrunnen kompakter zu machen, seine Stärke dabei aber nicht einzuschränken.","shrink_kit_wishing_well","","rare","GenericReward","15","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","","11","","","","","","","InventoryItem","","","","",""
"","26323581","'Friedhof-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Friedhof-Kit"" zusammenzusetzen","9","","","","","","","","","consumable","fragment","1","fragment#upgrade_kit_graveyard","'Friedhof-Kit'-Fragment","Sammle genug Fragmente, um ""Friedhof-Kit"" zusammenzusetzen","icon_fragment","True","consumable","upgrade_kit","1","upgrade_kit_graveyard","Friedhof-Kit","Verbessert deinen Friedhof zu einer besseren Version, die mehr Zufriedenheit bringt. Verbessere deinen Friedhof bis zu 5 mal für einen noch größeren Effekt!","upgrade_kit_graveyard","True","rare","GenericReward","15","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","","11","","","","","","","InventoryItem","","","","",""
"","29861655","'Schrein des Wissens-Kit'-Fragment","","","","","","","Sammle genug Fragmente, um ""Schrein des Wissens-Kit"" zusammenzusetzen","3","","","","","","","","","consumable","fragment","1","fragment#upgrade_kit_shrine_of_knowledge","'Schrein des Wissens-Kit'-Fragment","Sammle genug Fragmente, um ""Schrein des Wissens-Kit"" zusammenzusetzen","icon_fragment","True","consumable","upgrade_kit","1","upgrade_kit_shrine_of_knowledge","Schrein des Wissens-Kit","Verbessert deinen Schrein des Wissens zu einer besseren Version, die mehr Ressourcen produziert.","upgrade_kit_shrine_of_knowledge","True","uncommon","GenericReward","15","","","","","","","","","","","","","","","","","","","","","FragmentReward","","","","FragmentItemPayload","icon_fragment","","","","","","","11","","","","","","","InventoryItem","","","","",""
"","30305969","Event-Überraschungskiste","","","","","","","Dieser Gegenstand wird verfügbar, sobald das nächste Event beginnt.","1","","","","","","","","","none","","","","Event-Überraschungskiste","Dieser Gegenstand wird verfügbar, sobald das nächste Event beginnt.","event_mystery_item_unrevealed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GenericReward","","","","RewardItemPayload","event_mystery_item_unrevealed","1656919800","","","","","","50","","","","","","","InventoryItem","","","","",""
"","30066827","10 Forge-Punkte","","","","","","","Öffne das große Forge-Punkt-Paket in deinem Inventar, um sofort 10 Forge-Punkte zu erhalten!","2877","","","","CityResource","10","PremiumPackage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ForgePointPackagePayload","large_forgepoints","","","","","","","12","2147483630","","","","","","InventoryItem","","","","",""
"","3475641","Massen-Selbsthilfe-Kit","","","","","","","Verwende das Massen-Selbsthilfe-Kit, um alle deine Gebäude zu motivieren und zu polieren! Motivierte Gebäude produzieren doppelt so viel, während beim Polieren die Zufriedenheit verdoppelt wird!","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MassSelfAidKitPayload","motivate_all","","minValues","1215","0.36000000000000004","ItemExchangeValue","True","6","","","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1215","0.5399999999999999","","","","","","","","","","","","","","",""
"","30585385","5 Forge-Punkte","","","","","","","Öffne das mittelgroße Forge-Punkt-Paket in deinem Inventar, um sofort 5 Forge-Punkte zu erhalten.","2","","","","CityResource","5","PremiumPackage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ForgePointPackagePayload","medium_forgepoints","","","","","","","12","2147483635","","","","","","InventoryItem","","","","",""
"","3444018","Plus-Eins-Kit","","","","","","","Bringe ein Event-Gebäude auf das nächste Zeitalter! Kann dein aktuelles Zeitalter nicht übersteigen.","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OneUpKitPayload","one_up_kit","","minValues","1755.0000000000002","0.52","ItemExchangeValue","True","4","","","","","","","InventoryItem","","","","",""
